Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           Dataset::read(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [17]
                0.00    0.00       1/1           std::vector<Vector, std::allocator<Vector> >::vector(std::vector<Vector, std::allocator<Vector> > const&) [20]
                0.00    0.00       2/2           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [121]
                0.00    0.00       2/2           std::__new_allocator<char>::~__new_allocator() [117]
                0.00    0.00       2/2           std::vector<Vector, std::allocator<Vector> >::~vector() [118]
                0.00    0.00       2/2           std::vector<double, std::allocator<double> >::~vector() [119]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&) [146]
-----------------------------------------------
                0.00    1.46       1/1           main [1]
[2]     95.4    0.00    1.46       1         Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
                0.00    1.30  130816/130816      Analysis::pearson(Vector, Vector) [3]
                0.15    0.00  261632/1178879     Vector::Vector(Vector const&) [4]
                0.01    0.00  130816/130816      std::vector<double, std::allocator<double> >::push_back(double const&) [12]
                0.00    0.00  261632/261632      std::vector<Vector, std::allocator<Vector> >::operator[](unsigned long) [41]
                0.00    0.00  261632/1179391     Vector::~Vector() [36]
                0.00    0.00  131839/131880      std::vector<Vector, std::allocator<Vector> >::size() const [43]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector() [145]
-----------------------------------------------
                0.00    1.30  130816/130816      Analysis::correlation_coefficients(std::vector<Vector, std::allocator<Vector> >) [2]
[3]     84.7    0.00    1.30  130816         Analysis::pearson(Vector, Vector) [3]
                0.41    0.00  261632/261632      Vector::mean() const [5]
                0.09    0.19  261632/261632      Vector::operator-(double) [6]
                0.00    0.25  261632/261632      Vector::magnitude() const [7]
                0.05    0.19  261632/261632      Vector::operator/(double) [8]
                0.08    0.00  130816/1178879     Vector::Vector(Vector const&) [4]
                0.03    0.02  130816/392448      Vector::dot(Vector) const [9]
                0.00    0.00  654080/1179391     Vector::~Vector() [36]
                0.00    0.00  130816/130816      double const& std::min<double>(double const&, double const&) [48]
